unit_id,unit_name,knl_ids
7,Thực hành tìm kiếm thông tin trên Internet,"1.1, 1.2, 6.3"
12,Hệ quản trị cơ sở dữ liệu và hệ cơ sở dữ liệu,"1.3, 2.2, 3.2"
11,Cơ sở dữ liệu,1.3
9,Giao tiếp an toàn trên Internet,"2.1, 2.3, 2.4, 2.5, 2.6, 3.1, 4.1, 4.2, 4.3, 4.4, 5.3, 5.4, 6.2"
6,Lưu trữ và chia sẻ tệp tin trên Internet,2.2
16,Công việc quản trị cơ sở dữ liệu,2.6
5,Kết nối máy tính với các thiết bị số,"3.1, 5.1, 5.2"
25,Phần mềm chỉnh sửa ảnh,3.1
8,Thực hành nâng cao sử dụng dịch vụ điện tử và mạng xã hội,3.1
29,Khám phá phần mềm làm phim,3.1
3,Phần mềm nguồn mở và phần mềm chạy trên Internet,3.3
1,Hệ điều hành,"3.4, 6.1"
15,Bảo mật và an toàn hệ cơ sở dữ liệu,4.2
